Batch No.,Datetime,Data Parameter,Name of Process Step,Actual,Target,Batch Status,Bike Type
7000,2021-09-23 08:11:23,Temperature,Warming Up,,91,1,Mountain
7000,2021-09-23 08:18:11,Temperature,Warming Up,59.2,,1,Mountain
7000,2021-09-23 08:28:08,Temperature,Warming Up,72.9,,1,Mountain
7000,2021-09-23 08:32:25,Temperature,Warming Up,104,,1,Mountain
7000,2021-09-23 08:49:45,Temperature,Warming Up,137.55,,1,Mountain
7000,2021-09-23 08:51:37,Temperature,Warming Up,113,,1,Mountain
7000,2021-09-23 08:57:00,Current,Shutter Open,,7.104,1,Mountain
7000,2021-09-23 09:06:48,Current,Shutter Open,6.396,,1,Mountain
7000,2021-09-23 09:15:29,Current,Shutter Open,9.875,,1,Mountain
7000,2021-09-23 09:15:58,Current,Shutter Open,7.44,,1,Mountain
7000,2021-09-23 09:18:39,Current,Shutter Open,10.296,,1,Mountain
7000,2021-09-23 09:23:24,Voltage,Shutter Open,,318,1,Mountain
7000,2021-09-23 09:40:33,Voltage,Shutter Open,91,,1,Mountain
7000,2021-09-23 09:41:59,Voltage,Shutter Open,183,,1,Mountain
7000,2021-09-23 09:49:44,Voltage,Shutter Open,317.5,,1,Mountain
7000,2021-09-23 10:10:17,Voltage,Shutter Open,405,,1,Mountain
7000,2021-09-23 10:17:21,Voltage,Shutter Open,283.8,,1,Mountain
7000,2021-09-23 10:50:04,Voltage,Shutter Open,333,,1,Mountain
7000,2021-09-23 10:50:33,Voltage,Shutter Open,,368,1,Mountain
7000,2021-09-23 10:59:32,Voltage,Shutter Open,536,,1,Mountain
7000,2021-09-23 11:10:25,Gas,Painting 1,,5400,1,Mountain
7000,2021-09-23 11:17:32,Gas,Painting 1,3320,,1,Mountain
7000,2021-09-23 11:18:19,Gas,Painting 1,3157,,1,Mountain
7000,2021-09-23 11:24:48,Gas,Painting 1,4368,,1,Mountain
7000,2021-09-23 11:35:48,Pressure,Painting 1,,450,1,Mountain
7000,2021-09-23 11:42:04,Pressure,Painting 1,768,,1,Mountain
7000,2021-09-23 11:43:37,Pressure,Painting 1,465,,1,Mountain
7000,2021-09-23 12:15:54,Gas,Painting 2,,4260,1,Mountain
7000,2021-09-23 12:18:56,Gas,Painting 2,5400,,1,Mountain
7000,2021-09-23 12:52:11,Gas,Painting 2,5074,,1,Mountain
