7 letter word,Total Points,% Chance,Points Rank,Likelihood Rank
muzjiks,29,2.88e-12,1,82
tzaddiq,27,7.78e-11,2,57
jukebox,27,7.68e-12,2,78
bezique,27,1.04e-10,2,53
cazique,27,7.78e-11,2,57
mezquit,27,5.18e-11,2,61
zootaxy,26,6.91e-11,3,58
zinkify,26,1.94e-11,3,71
zambuck,26,2.88e-12,3,82
squawky,26,5.76e-12,3,80
sovkhoz,26,1.02e-11,3,76
zombify,26,1.15e-11,3,75
kolhozy,26,1.02e-11,3,76
quetzal,25,1.04e-10,4,53
quinzes,25,1.04e-10,4,53
squeeze,25,2.76e-10,4,42
squiffy,25,1.15e-11,4,75
quickly,25,5.76e-12,4,80
zymurgy,25,5.76e-12,4,80
quezals,25,6.91e-11,4,58
packwax,25,6.48e-12,4,79
muzhiks,25,5.76e-12,4,80
jambeux,25,1.73e-11,4,72
frawzey,25,5.18e-11,4,61
asphyxy,25,5.76e-12,4,80
jezebel,25,1.38e-10,4,50
waxwork,24,1.73e-11,5,72
queachy,24,3.46e-11,5,65
oxidize,24,3.11e-10,5,41
mythize,24,5.18e-11,5,61
showbiz,24,2.3e-11,5,69
queechy,24,4.61e-11,5,62
zaddick,24,2.59e-11,5,68
jerqued,24,1.38e-10,5,50
zebecks,24,2.3e-11,5,69
zephyrs,24,2.3e-11,5,69
zincify,24,3.89e-11,5,64
mitzvah,24,3.89e-11,5,64
ziplock,24,1.15e-11,5,75
zlotych,24,1.54e-11,5,73
zythums,24,7.68e-12,5,78
zambuks,24,5.76e-12,5,80
kibbutz,24,8.64e-12,5,77
czapkas,24,1.3e-11,5,74
kajawah,24,2.92e-11,5,67
jaywalk,24,1.3e-11,5,74
jackdaw,24,1.3e-11,5,74
hypoxic,24,1.15e-11,5,75
hydroxy,24,1.54e-11,5,73
hutzpah,24,1.73e-11,5,72
hamzahs,24,2.59e-11,5,68
jumbuck,24,1.28e-12,5,83
chintzy,24,2.59e-11,5,68
cachexy,24,1.73e-11,5,72
kibbitz,24,1.94e-11,5,71
jumpoff,24,5.12e-12,5,81
schmalz,23,1.15e-11,6,75
schmelz,23,1.54e-11,6,73
schmooz,23,2.05e-11,6,70
quixote,23,2.07e-10,6,46
quakily,23,2.59e-11,6,68
oxazine,23,4.67e-10,6,38
quacked,23,3.46e-11,6,65
mazhbis,23,2.59e-11,6,68
squabby,23,1.15e-11,6,75
pemphix,23,1.73e-11,6,72
quaffed,23,6.91e-11,6,58
squawks,23,1.15e-11,6,75
squeaky,23,3.46e-11,6,65
vizying,23,5.83e-11,6,60
wheezed,23,2.76e-10,6,42
workbox,23,1.54e-11,6,73
zanjero,23,3.11e-10,6,41
zecchin,23,5.18e-11,6,61
zelkova,23,6.91e-11,6,58
zeuxite,23,3.11e-10,6,41
zincked,23,5.18e-11,6,61
machzor,23,3.46e-11,6,65
zymomes,23,3.07e-11,6,66
zymotic,23,3.46e-11,6,65
syzygal,23,1.73e-11,6,72
lockjaw,23,1.15e-11,6,75
jerques,23,1.38e-10,6,50
kwanzas,23,3.89e-11,6,64
kyanize,23,1.17e-10,6,52
avyzing,23,5.83e-11,6,60
azulejo,23,1.38e-10,6,50
chometz,23,4.61e-11,6,62
chutzpa,23,1.73e-11,6,72
chymify,23,5.76e-12,6,80
cyclize,23,3.46e-11,6,65
dockize,23,6.91e-11,6,58
enzymic,23,5.18e-11,6,61
equinox,23,2.07e-10,6,46
chametz,23,5.18e-11,6,61
hijacks,23,1.3e-11,6,74
janizar,23,2.62e-10,6,43
jerquer,23,2.07e-10,6,46
foxfish,23,2.3e-11,6,69
jewfish,23,3.46e-11,6,65
jezails,23,1.56e-10,6,49
jockeys,23,1.54e-11,6,73
khazens,23,5.18e-11,6,61
jockney,23,2.3e-11,6,69
jonquil,23,6.91e-11,6,58
mazurka,22,3.89e-11,7,64
methoxy,22,4.61e-11,7,62
pajocks,22,1.15e-11,7,75
pajocke,22,3.46e-11,7,65
pharynx,22,2.59e-11,7,68
pheezed,22,2.76e-10,7,42
oxyphil,22,2.3e-11,7,69
manjack,22,1.94e-11,7,71
zaddiks,22,5.18e-11,7,61
liquify,22,5.18e-11,7,61
wheezle,22,2.76e-10,7,42
woozily,22,9.22e-11,7,54
zaffars,22,7.78e-11,7,57
zaffers,22,1.04e-10,7,53
zaffirs,22,7.78e-11,7,57
phenoxy,22,4.61e-11,7,62
zanyish,22,7.78e-11,7,57
zaffres,22,1.04e-10,7,53
lockbox,22,1.02e-11,7,76
phizogs,22,3.46e-11,7,65
qwertys,22,6.91e-11,7,58
wheezes,22,2.76e-10,7,42
liquefy,22,6.91e-11,7,58
qawwali,22,1.17e-10,7,52
quaffer,22,1.04e-10,7,53
quackle,22,3.46e-11,7,65
quavery,22,1.04e-10,7,53
quiched,22,6.91e-11,7,58
quicken,22,5.18e-11,7,61
quicker,22,5.18e-11,7,61
quickie,22,7.78e-11,7,57
pixyish,22,2.59e-11,7,68
quivery,22,1.04e-10,7,53
showbox,22,2.05e-11,7,70
sjambok,22,1.15e-11,7,75
squashy,22,2.3e-11,7,69
squishy,22,2.3e-11,7,69
tzaddik,22,7.78e-11,7,57
waxworm,22,3.46e-11,7,65
whaizle,22,1.56e-10,7,49
wheezer,22,4.15e-10,7,39
pickaxe,22,3.89e-11,7,64
ziffius,22,5.18e-11,7,61
mazedly,22,6.91e-11,7,58
zimocca,22,5.18e-11,7,61
foxship,22,2.3e-11,7,69
fowlpox,22,2.05e-11,7,70
fahlerz,22,1.04e-10,7,53
exarchy,22,5.18e-11,7,61
djibbah,22,2.59e-11,7,68
cozying,22,5.18e-11,7,61
coxcomb,22,1.02e-11,7,76
carjack,22,1.94e-11,7,71
hafizes,22,1.56e-10,7,49
buzukis,22,1.15e-11,7,75
bumbaze,22,3.46e-11,7,65
britzka,22,5.83e-11,7,60
boxfish,22,2.3e-11,7,69
blowzed,22,6.14e-11,7,59
bazouki,22,5.18e-11,7,61
bazooka,22,1.04e-10,7,53
quacker,22,5.18e-11,7,61
qualify,22,5.18e-11,7,61
buzukia,22,2.59e-11,7,68
lazyish,22,5.18e-11,7,61
hazelly,22,6.91e-11,7,58
hexylic,22,3.46e-11,7,65
zoogamy,22,6.91e-11,7,58
zuffoli,22,4.61e-11,7,62
zuffolo,22,4.1e-11,7,63
zydecos,22,6.14e-11,7,59
